Comment ID,Comment Text,Comment Score,Comment Depth,Created Timestamp,Author,Edited,Semantic Label,Semantic Label 2,Semantic Label 3,Major_Semantic
fl5xel4,"It's good advice. But not sure it can be fully implemented in our country. Let's hope that this practiced by people who can afford to do it is enough to flatten the curve by a bit. Maybe it could end up saving a few lives later.

Scary times are coming. Stay safe dear friends.",414,0,1584848236.0,neutralgr3y,False,neutral,neutral,neutral,neutral
fl5vckp,Love it!,44,0,1584846680.0,popat73f,False,positive,positive,positive,positive
fl64a2b,Microsoft Word users: *nervous sweating*,34,0,1584853969.0,Aetoris,False,neutral,neutral,negative,neutral
fl5y65d,Getting newspapers delivered is probably not the best idea at this time.,107,0,1584848834.0,ramani91,False,negative,negative,negative,negative
fl6014f,"Diary note, march 2020. Untouchability is back in fashion.",71,0,1584850309.0,budbuk,False,neutral,positive,neutral,neutral
fl61yu0,Brilliant Advertisement ...would it  be practiced in India is the biggest question ..,18,0,1584851917.0,Paree264,False,positive,neutral,positive,positive
fl65a9p,"/r/DontDeadOpenInside

Kidding. Nicely done!",9,0,1584854910.0,roydl7,False,positive,positive,positive,positive
fl5xxh2,r/designporn,16,0,1584848645.0,,False,neutral,neutral,neutral,neutral
fl630aq,Not only social distancing but giving equal preference to self isolation will also make a huge impact on the outbreak of corona virus and the pandemic caused by it,8,0,1584852817.0,rajatilu,False,negative,neutral,neutral,neutral
fl5x1mf,"said

&#x200B;

by

&#x200B;

rich

&#x200B;

people",67,0,1584847954.0,cone10,False,neutral,neutral,neutral,neutral
fl5zlpl,This looks like a page out of the book House of Leaves.,6,0,1584849970.0,newcitynewme724,False,negative,neutral,neutral,neutral
fl7224j,"Non Indian here.

How is India not even in the top tep countries of having high numbers of confirmed cases and deaths when India has so many people and so crowded. I'm struggling to understand because this virus would fester properly under such conditions.",5,0,1584892087.0,xiaogege1,False,negative,negative,negative,negative
fl6imdt,"The virus is allegedly airborne [0]. It can survive upto 3 hours (and some reports claim 24 hours) in air, floating around, looking for a host.

Social distancing may not be adequate if you're not covering your eyes, mouth, and nose. And even then, there's a small chance the virus still penetrates the mask.

This is serious. Do not leave your homes for non-essential work.

[0] No proof but it is suspected.",4,0,1584870604.0,celzero,1585064655.0,negative,neutral,negative,negative
